ANATOMY,Interdune,Stoss,Lee,Interdune,Interdune,Interdune,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,"Interdune, Depth",Lee,"Stoss, Depth",Interdune,Stoss,Stoss,Lee,Lee,Lee,Stoss,Stoss,Lee,Stoss,Lee,"Stoss, Star","Stoss, Star","Lee, Star","Stoss, Star","Stoss, Star",Stoss,Lee,Stoss,Stoss,Lee,Lee,Lee,Lee,Interdune,Interdune,Stoss,Stoss,Stoss,Lee,Lee,Interdune,Lee,"Stoss, Crest",Lee,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.4B,MF.5B,MF.6B,MF.7B,MF.8B,MF.11A,MF.12A,MF.13A,MF.14B,MF.15A,MF.16A,MF.17A,MF.18B,MF.19A,MF.20A,MF.27B,MF.28A,MF.30A,MF.31B,MF.33A,ED.01A,ED.02B,ED.03A,ED.04A,ED.05A,ED.06A,ED.08A,ED.09A,ED.10A,ED.11A,ED.12A,ED.13A,ED.14B,ED.15B,ED.16A,ED.17B,ED.18A,ED.19A,ED.20A,ED.21A,ED.22A,ED.23A,ED.24A,ED.33A,IX.1B,IX.2A,IX.3A,IX.4B,IX.5A,IX.6A,IX.7A,IX.8A,IX.9A,IX.10A,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu2021,4,0,0,0,0,0,1,1,14,0,0,50,1,45,24,0,22,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,bacteria,pseudomonadota,alphaproteobacteria,caulobacterales,caulobacteraceae,phenylobacterium,phenylobacterium deserti
Zotu3,1415,183,185,59,69,190,188,187,140,148,266,543,2424,148,77,56,67,550,58,696,134,637,1209,886,1522,494,796,475,308,278,1005,2245,1196,686,1263,2471,237,292,398,579,3178,243,1083,50,927,1155,811,530,747,693,558,80,191,451,95,96,196,1122,247,90,160,159,viridiplantae,chlorophyta,trebouxiophyceae,chlorellales,chlorellaceae,chlorella,chlorella variabilis
Zotu358,353,1,3,12,1,1,0,0,1,0,1,0,3,2,0,0,2,0,1,565,0,3,5,1,1,1,6,1,1,0,0,1,0,1,0,0,0,0,1,3,0,0,0,59,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,bacteria,proteobacteria,alphaproteobacteria,sphingomonadales,sphingomonadaceae,sphingopyxis,sphingopyxis macrogoltabida
Zotu1283,3,1,2,0,1,0,2,1,10,0,0,0,1,0,0,0,0,1,0,0,0,196,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,archaea,thaumarchaeota,nitrososphaeria,nitrososphaerales,nitrososphaeraceae,nitrososphaera,candidatus nitrososphaera gargensis
Zotu347,2,14,14,183,225,0,2,1,10,0,74,22,0,2,52,3,37,43,56,4,0,0,3,1,2,3,2,0,1,1,1,2,6,7,3,4,1,3,6,1,5,3,3,36,0,44,3,7,3,3,64,7,16,45,372,365,337,99,335,350,432,12,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,sphingosinicellaceae,sphingosinicella,sphingosinicella humi
Zotu43,199,11,41,41,21,27,36,62,28,17,19,18,17,26,20,3696,57,17,22,15,47,26,13,14,16,28,16,23,14,24,20,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,bacteria,pseudomonadota,alphaproteobacteria,rhodobacterales,paracoccaceae,paracoccus,paracoccus speluncae
Zotu434,254,2,27,2,0,3,5,37,43,5,3,36,0,30,13,1,5,31,1,1,40,0,5,0,1,1,3,1,2,2,0,1,2,1,4,1,1,0,74,0,0,1,0,1,87,1,1,1,1,2,43,26,19,26,2,3,2,2,1,2,3,8,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,salinarimonadaceae,salinarimonas,salinarimonas soli
Zotu1703,4,0,4,1,1,1,1,18,0,0,0,23,0,0,0,1,12,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,2,1,2,0,0,0,0,2,1,0,0,1,1,9,10,0,0,0,1,0,0,0,0,95,bacteria,pseudomonadota,betaproteobacteria,nitrosomonadales,methylophilaceae,pseudomethylobacillus,pseudomethylobacillus aquaticus
Zotu467,7,4,22,0,2,1,3,7,34,2,44,32,1,24,28,3,54,1,90,7,11,3,6,5,4,7,1,1,187,1,1,0,0,1,84,0,0,0,2,2,1,1,1,0,0,1,1,0,0,2,1,15,7,2,1,0,0,0,0,0,1,10,bacteria,pseudomonadota,alphaproteobacteria,rhodobacterales,roseobacteraceae,rubellimicrobium,rubellimicrobium rubrum
Zotu69,15,52,93,202,19,37,162,222,107,59,72,13,5,20,52,1240,336,13,12,15,68,15,11,16,20,13,16,15,25,16,12,3,5,3,4,2,0,5,2,28,3,0,1,7,109,1,1,37,142,85,75,56,16,1,1,0,2,6,1,2,2,91,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum aerium
