ANATOMY,"Interdune, Depth","Stoss, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.28A,MF.31B,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu305,3.0,1.0,5.0,0.0,4.0,3.0,1.0,3.0,3.0,12.0,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,nitrobacteraceae,bradyrhizobium,bradyrhizobium denitrificans
Zotu110,7.0,33.0,10.0,13.0,6.0,150.0,2.0,4.0,5.0,7.0,bacteria,gemmatimonadota,longimicrobiia,longimicrobiales,longimicrobiaceae,longimicrobium,longimicrobium terrae
Zotu233,1.0,26.0,3.0,2.0,2.0,3.0,10.0,3.0,3.0,5.0,bacteria,actinomycetota,nitriliruptoria,egibacterales,egibacteraceae,egibacter,egibacter rhizosphaerae
Zotu295,2.0,6.0,6.0,2.0,6.0,2.0,3.0,2.0,3.0,1.0,bacteria,actinomycetota,rubrobacteria,rubrobacterales,rubrobacteraceae,rubrobacter,rubrobacter taiwanensis
Zotu155,5.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,nitriliruptoria,euzebyales,euzebyaceae,euzebya,euzebya pacifica
Zotu568,56.0,2.0,0.0,2.0,0.0,0.0,0.0,9.0,5.0,0.0,bacteria,actinomycetota,actinomycetes,kineosporiales,kineosporiaceae,kineococcus,kineococcus xinjiangensis
Zotu3311,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter agilis
Zotu82,47.0,4.0,3.0,1.0,3.0,2.0,3.0,0.0,2.0,5.0,bacteria,pseudomonadota,alphaproteobacteria,rhodospirillales,acetobacteraceae,endobacter,endobacter medicaginis
Zotu1444,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,sphingosinicellaceae,sphingosinicella,sphingosinicella cucumeris
Zotu2457,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,chloroflexota,chloroflexia,kallotenuales,kallotenuaceae,kallotenue,kallotenue papyrolyticum
Zotu387,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,iamiaceae,actinomarinicola,actinomarinicola tropica
Zotu165,1.0,78.0,127.0,180.0,173.0,229.0,235.0,206.0,81.0,33.0,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,conexibacteraceae,conexibacter,conexibacter stalactiti
Zotu2891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,kitasatosporales,streptomycetaceae,streptomyces,streptomyces baliensis
Zotu20,14.0,13.0,20.0,15.0,25.0,13.0,16.0,34.0,25.0,38.0,bacteria,actinomycetota,rubrobacteria,rubrobacterales,rubrobacteraceae,rubrobacter,rubrobacter bracarensis
Zotu5218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,deinococcota,deinococci,trueperales,trueperaceae,truepera,truepera radiovictrix
Zotu2411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,verrucomicrobiota,spartobacteria,chthoniobacterales,chthoniobacteraceae,chthoniobacter,chthoniobacter flavus
Zotu5069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu81,15.0,9.0,1.0,1.0,0.0,0.0,2.0,1.0,22.0,38.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia agri
Zotu4,216.0,39.0,36.0,32.0,28.0,41.0,40.0,41.0,126.0,813.0,bacteria,pseudomonadota,alphaproteobacteria,rhodospirillales,rhodospirillaceae,elstera,elstera cyanobacteriorum
Zotu2310,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,rubrobacteria,gaiellales,gaiellaceae,gaiella,gaiella occulta
Zotu2511,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,segetibacter,segetibacter aerophilus
Zotu23,8.0,3.0,10.0,3.0,11.0,4.0,4.0,7.0,7.0,13.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia varians
Zotu30,59.0,9.0,11.0,3.0,3.0,5.0,11.0,13.0,96.0,176.0,bacteria,deinococcota,deinococci,deinococcales,deinococcaceae,deinococcus,deinococcus deserti
Zotu50,21.0,4.0,5.0,0.0,5.0,4.0,4.0,3.0,3.0,75.0,bacteria,pseudomonadota,gammaproteobacteria,chromatiales,thioprofundaceae,thioprofundum,thioprofundum hispidum
Zotu478,2.0,0.0,2.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum autotrophicum
Zotu31,18.0,81.0,4.0,2.0,3.0,4.0,7.0,10.0,5.0,8.0,bacteria,bacteroidota,cytophagia,cytophagales,flammeovirgaceae,flexithrix,flexithrix dorotheae
Zotu4825,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,bacillota,bacilli,bacillales,bacillaceae,ectobacillus,ectobacillus funiculus
