ANATOMY,"Interdune, Depth","Stoss, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.28A,MF.31B,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu235,0.07889140426699595,0.0,0.006871907641561298,0.010003668011604254,0.0,0.0,0.010052271813429835,0.0,0.0,0.3696441773006332,bacteria,acidobacteriota,acidobacteriia,acidobacteriales,acidobacteriaceae,edaphobacter,edaphobacter modestum
Zotu2133,0.0,0.0031426775612822125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,blastococcus,blastococcus colisei
Zotu74,0.25382451807642176,0.009428032683846638,0.03435953820780649,0.02667644803094468,0.029728479883728613,0.009782502364104738,0.10387347540544163,0.03963535473642489,0.0421913540179151,0.08678602423580084,bacteria,bacteroidota,sphingobacteriia,sphingobacteriales,sphingobacteriaceae,pedobacter,pedobacter mongoliensis
Zotu460,0.034300610550867805,0.0,0.0,0.0,0.0,0.006521668242736492,0.0,0.0033029462280354076,0.006490977541217708,0.05464305229661534,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,erythrobacteraceae,croceibacterium,croceibacterium soli
Zotu44,0.4493379982163682,0.04399748585795097,0.0,0.003334556003868085,0.0,0.006521668242736492,0.0,0.0,0.00973646631182656,0.028928674745266947,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter terrigena
Zotu1186,0.020580366330520683,0.0,0.0,0.0,0.0033031644315254013,0.0,0.0,0.0,0.0,0.0,bacteria,deinococcota,deinococci,deinococcales,deinococcaceae,deinococcus,deinococcus peraridilitoris
Zotu166,0.017150305275433902,0.021998742928975485,0.010307861462341946,0.02000733602320851,0.0,0.006521668242736492,0.0033507572711432786,0.006605892456070815,0.3375308321433208,0.3953585548519816,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum suwonense
Zotu542,0.06174109899156205,0.0031426775612822125,0.010307861462341946,0.01333822401547234,0.0033031644315254013,0.0,0.0033507572711432786,0.0033029462280354076,0.006490977541217708,0.3085725306161808,bacteria,bacillota,bacilli,lactobacillales,streptococcaceae,lactococcus,lactococcus cremoris
Zotu1707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,rhodospirillales,magnetovibrionaceae,varunaivibrio,varunaivibrio sulfuroxidans
Zotu1141,0.037730671605954585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,geodermatophilus,geodermatophilus chilensis
Zotu109,0.05145091582630171,0.01571338780641106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,parviterribacteraceae,parviterribacter,parviterribacter kavangonensis
Zotu2256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,modestobacter,modestobacter marinus
Zotu29,0.7443232489538314,0.05342551854179761,0.02061572292468389,0.033345560038680847,0.02642531545220321,0.058695014184628434,0.03350757271143279,0.03633240850838949,0.03245488770608854,0.257143775513484,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter halodurans
Zotu18,0.3807367771146326,0.0502828409805154,0.054975261132490384,0.033345560038680847,0.04954746647288102,0.029347507092314217,0.050261359067149174,0.042938300964460295,0.03570037647669739,0.07071453826620809,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,comamonadaceae,ramlibacter,ramlibacter monticola
Zotu83,0.10290183165260341,0.10370835952231301,0.010307861462341946,0.02667644803094468,0.009909493294576204,0.026086672970945968,0.006701514542286557,0.03963535473642489,0.1395560171361807,0.1607148596959275,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,acidiferrimicrobium,acidiferrimicrobium australe
Zotu280,0.013720244220347122,0.21684475172847267,0.0,0.0,0.0033031644315254013,0.006521668242736492,0.0,0.006605892456070815,0.003245488770608854,0.0,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu3014,0.13720244220347122,0.0031426775612822125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,gammaproteobacteria,pasteurellales,pasteurellaceae,haemophilus,haemophilus parainfluenzae
Zotu5707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,thermoleophilia,thermoleophilales,thermoleophilaceae,thermoleophilum,thermoleophilum album
Zotu1440,0.0,0.0031426775612822125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,kineosporiales,kineosporiaceae,angustibacter,angustibacter speluncae
Zotu287,0.034300610550867805,0.006285355122564425,0.006871907641561298,0.010003668011604254,0.0066063288630508026,0.006521668242736492,0.006701514542286557,0.009908838684106223,0.003245488770608854,0.02250008035742985,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides szechwanensis
Zotu64,0.3052754339027235,0.018856065367693277,0.017179769103903245,0.003334556003868085,0.033031644315254016,0.029347507092314217,0.016753786355716394,0.019817677368212445,0.01947293262365312,0.02250008035742985,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum aridicola
Zotu2417,0.030870549495781024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006428594387837099,bacteria,bacillota,bacilli,bacillales,bacillaceae,domibacillus,domibacillus antri
Zotu33,0.08232146532208273,0.0502828409805154,0.03435953820780649,0.036680116042548935,0.04294113760983022,0.029347507092314217,0.030156815440289503,0.07927070947284978,0.11359210697130988,0.2539294783195654,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,solirubrobacteraceae,solirubrobacter,solirubrobacter phytolaccae
Zotu315,0.017150305275433902,0.0031426775612822125,0.006871907641561298,0.010003668011604254,0.013212657726101605,0.013043336485472984,0.0033507572711432786,0.02642356982428326,0.012981955082435416,0.0,bacteria,chloroflexota,chloroflexia,kallotenuales,kallotenuaceae,kallotenue,kallotenue papyrolyticum
Zotu17,0.05488097688138849,0.11627906976744186,0.07902693787795492,0.04001467204641702,0.17506771487084627,0.06195584830599668,0.07036590269400884,0.03963535473642489,0.39594963001428013,0.09642891581755648,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter galbus
Zotu471,0.05488097688138849,0.006285355122564425,0.0,0.0,0.0,0.0,0.0,0.0,0.003245488770608854,0.0,bacteria,bacillota,bacilli,bacillales,staphylococcaceae,staphylococcus,staphylococcus epidermidis
Zotu1645,0.0034300610550867805,0.0031426775612822125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,rhodobacterales,paracoccaceae,paracoccus,paracoccus marinus
Zotu189,0.013720244220347122,0.0031426775612822125,0.027487630566245192,0.0,0.0,0.019565004728209476,0.02010454362685967,0.006605892456070815,0.01947293262365312,0.035357269133104045,bacteria,bacillota,bacilli,bacillales,bacillaceae,priestia,priestia koreensis
Zotu46,0.07546134321190917,0.1791326209930861,1.2300714678394724,0.14338590816632765,0.09579176851423664,0.5249942935402876,0.036858329982576064,0.042938300964460295,0.051927820329741664,0.31178682781009937,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides perillae
Zotu907,0.0034300610550867805,0.0031426775612822125,0.0,0.003334556003868085,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga aerilata
Zotu45,0.41503738766550047,0.02828409805153991,0.03435953820780649,0.02000733602320851,0.02312215102067781,0.019565004728209476,0.02010454362685967,0.01321178491214163,0.08762819680643905,0.9353604834302979,bacteria,pseudomonadota,alphaproteobacteria,rhodospirillales,acetobacteraceae,sabulicella,sabulicella rubraurantiaca
Zotu330,0.017150305275433902,0.0,0.006871907641561298,0.0,0.0033031644315254013,0.013043336485472984,0.0033507572711432786,0.0033029462280354076,0.23367519148383745,0.00964289158175565,bacteria,actinomycetota,rubrobacteria,gaiellales,gaiellaceae,gaiella,gaiella occulta
Zotu2866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum suwonense
Zotu814,0.013720244220347122,0.0,0.003435953820780649,0.003334556003868085,0.0,0.003260834121368246,0.0,0.0,0.3505127872257562,0.0,bacteria,bacteroidota,flavobacteriia,flavobacteriales,weeksellaceae,cloacibacterium,cloacibacterium normanense
Zotu394,0.0034300610550867805,0.0031426775612822125,0.02061572292468389,0.00666911200773617,0.0066063288630508026,0.03260834121368246,0.006701514542286557,0.01321178491214163,0.012981955082435416,0.02250008035742985,bacteria,actinomycetota,actinomycetes,micrococcales,microbacteriaceae,microbacterium,microbacterium lacusdiani
Zotu1980,0.0034300610550867805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028928674745266947,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia consociata
Zotu75,0.11319201481786376,0.0,0.010307861462341946,0.02000733602320851,0.02312215102067781,0.013043336485472984,0.02010454362685967,0.029726516052318665,0.133065039594963,0.46928739031210825,bacteria,bacillota,bacilli,lactobacillales,streptococcaceae,streptococcus,streptococcus mitis
Zotu1360,0.010290183165260341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032142971939185497,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter arboris
Zotu35,0.07889140426699595,0.0502828409805154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetia,propionibacteriales,nocardioidaceae,nocardioides,nocardioides furvisabuli
Zotu1138,0.15435274747890512,0.0031426775612822125,0.006871907641561298,0.010003668011604254,0.0,0.0,0.0033507572711432786,0.0033029462280354076,0.0,0.02250008035742985,bacteria,chloroflexota,tepidiformia,tepidiformales,tepidiformaceae,tepidiforma,tepidiforma bonchosmolovskayae
Zotu3208,0.017150305275433902,0.0,0.0,0.0,0.0033031644315254013,0.003260834121368246,0.02680605816914623,0.0,0.0,0.0192857831635113,bacteria,pseudomonadota,alphaproteobacteria,rhodospirillales,rhodospirillaceae,elstera,elstera cyanobacteriorum
Zotu3924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum aerium
Zotu179,0.04802085477121493,0.006285355122564425,0.010307861462341946,0.0,0.0033031644315254013,0.019565004728209476,0.006701514542286557,0.0033029462280354076,0.003245488770608854,0.20892931760470573,bacteria,pseudomonadota,alphaproteobacteria,rhodospirillales,acetobacteraceae,sabulicella,sabulicella rubraurantiaca
Zotu693,0.006860122110173561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga thermotolerans
Zotu291,0.13034232009329766,0.0031426775612822125,0.006871907641561298,0.0,0.0066063288630508026,0.003260834121368246,0.0033507572711432786,0.046241247192495706,0.051927820329741664,0.1832149400533573,bacteria,planctomycetota,planctomycetia,pirellulales,lacipirellulaceae,pirellulimonas,pirellulimonas nuda
Zotu4787,0.0,0.0031426775612822125,0.024051676745464542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,deltaproteobacteria,myxococcales,kofleriaceae,kofleria,kofleria flava
Zotu2898,0.017150305275433902,0.0,0.0,0.0,0.0033031644315254013,0.0,0.0,0.033029462280354076,0.06815526418278593,0.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,sphaerotilaceae,caldimonas,caldimonas caldifontis
Zotu27,0.024010427385607463,0.7950974230043997,0.027487630566245192,0.033345560038680847,0.016515822157627008,0.022825838849577722,0.03350757271143279,0.04954419342053111,0.03245488770608854,0.08357172704188229,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,geodermatophilus,geodermatophilus sabuli
Zotu2601,0.020580366330520683,0.0,0.0,0.0,0.0,0.0,0.0033507572711432786,0.0033029462280354076,0.0,0.0192857831635113,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,geodermatophilus,geodermatophilus chilensis
Zotu1546,0.0,0.0031426775612822125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,erythrobacteraceae,porphyrobacter,porphyrobacter sanguineus
Zotu405,0.0,0.0031426775612822125,0.003435953820780649,0.0,0.0,0.0,0.0,0.0033029462280354076,0.03570037647669739,0.0,bacteria,myxococcota,myxococcia,myxococcales,myxococcaceae,simulacricoccus,simulacricoccus ruber
Zotu5819,0.017150305275433902,0.0,0.010307861462341946,0.0,0.0,0.0,0.0,0.0,0.0,0.01607148596959275,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,burkholderiales,aquabacterium,aquabacterium limnoticum
Zotu93,0.13034232009329766,0.0251414204902577,0.013743815283122596,0.016672780019340423,0.0033031644315254013,0.006521668242736492,0.006701514542286557,0.0033029462280354076,0.048682331559132805,0.3310726109736106,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,iamiaceae,actinomarinicola,actinomarinicola tropica
Zotu641,0.0034300610550867805,0.04085480829666876,0.0,0.00666911200773617,0.07266961749355882,0.009782502364104738,0.0,0.006605892456070815,0.0,0.0,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,kocuria,kocuria palustris
Zotu305,0.010290183165260341,0.0031426775612822125,0.017179769103903245,0.0,0.013212657726101605,0.009782502364104738,0.0033507572711432786,0.009908838684106223,0.00973646631182656,0.0385715663270226,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,nitrobacteraceae,bradyrhizobium,bradyrhizobium denitrificans
Zotu110,0.024010427385607463,0.10370835952231301,0.03435953820780649,0.043349228050285106,0.019818986589152408,0.4891251182052369,0.006701514542286557,0.01321178491214163,0.01622744385304427,0.02250008035742985,bacteria,gemmatimonadota,longimicrobiia,longimicrobiales,longimicrobiaceae,longimicrobium,longimicrobium terrae
